# Wavelength, Reflectance
0.45713524731158933, 0.18056417663413393
0.48687996389557836, 0.21549858676673472
0.5103626348829381, 0.26646371966302906
0.5291487716728259, 0.3147533835601902
0.5432383742652418, 0.35598622459315277
0.554196954059343, 0.40225409901957954
0.5635900224542869, 0.4498827932820775
0.5729830908492308, 0.4988723073806469
0.5823761592441747, 0.5560267404956445
0.5998204291204992, 0.6029750248401069
0.6042933188323771, 0.6544140146436047
0.6168174100256356, 0.7023148728733171
0.6246449670214222, 0.7417786481193869
0.644605237360678, 0.8024627076841946
0.6669137747986698, 0.8480359969859598
0.6935274685843441, 0.8964018019929965
0.7232721851683331, 0.9468294552365051
0.7555458047817302, 0.9809689039211626
0.7929374424308337, 0.9896544112952088
0.8265959375127161, 0.9987880307955938
0.8610371882941771, 0.9910870276323716
0.895478439075638, 0.9859468399788476
0.9299196898570989, 0.9720664776509196
0.9663737410089052, 0.9722675078539755
0.9988021914200209, 0.9421902967044435
1.0332434422014818, 0.9462727562126576
1.0713849926536785, 0.9631592932693614
1.1014301609203339, 0.9772004797597342
1.0979512466999843, 0.9649531012350919
1.1365671945458649, 0.9780664560190524
1.1710084453273257, 0.9771386243126401
1.2051887775422605, 0.9733387484689782
1.2398909468902477, 0.9769530579713576
1.2743321976717086, 0.9797984085376887
1.3087734484531697, 0.9835406630868848
1.3432146992346305, 0.9869117849535163
1.3776559500160916, 0.9895097137314708
1.4120972007975525, 0.995695258440886
1.4465384515790134, 0.9906231117791655
1.4809797023604745, 0.9943344386048147
1.5154209531419354, 0.9938395950280615
1.5498622039233965, 0.9976746327478989
1.5856080475374885, 0.991857643410753
1.6187447054863182, 0.9922932088507076
1.6531859562677793, 0.9955715475466977
1.6876272070492402, 0.9980457654304639
1.7220684578307013, 0.9989735971368762
1.7565097086121622, 0.9997158625020061
1.7909509593936233, 1.0023137912799605
1.8253922101750841, 1.0030560566450903
1.859833460956545, 1.0026849239625255
1.894274711738006, 0.9987880307955938
1.928715962519467, 0.9976746327478989
1.963157213300928, 0.9923550642978018
1.997598464082389, 0.9903138345436947
2.0184719494044865, 0.9801942833990913
2.0476948288554233, 0.9911179553559188
2.082136079636884, 0.9868499295064221
2.1165773304183446, 0.9925406306390843
2.151018581199806, 0.9901901236495063
2.185459831981267, 0.9888911592605293
2.2199010827627284, 0.9893241473901884
2.254342333544189, 0.988829303813435
2.2887835843256497, 0.9906231117791655
2.323224835107111, 0.9868499295064221
2.357666085888572, 0.9841282898342795
2.392629173803085, 0.978107692983782
2.426548587451494, 0.9797365530905946
2.4609898382329547, 0.9790561431725588
2.4954310890144153, 0.9705200914735657
2.529872339795877, 0.9551799405942156
2.5643135905773375, 0.939592367926489
2.598754841358798, 0.9279016884256941
2.6331960921402597, 0.9137986464882271
2.655113251728462, 0.8649328432838461
2.6879889911107657, 0.7244281952094769
2.700513082304024, 0.6693149918485862
2.7203428933600167, 0.6093417176445837
2.7239957532913843, 0.5665730942251977
2.7349543330854855, 0.5192846049217175
2.747478424278744, 0.46519201643788044
2.760002515472002, 0.4114639332672768
2.7772231408627324, 0.3620282646653098
2.7866162092576765, 0.31745801298438203
2.7987489226011455, 0.25656132532018816
2.827319505635767, 0.22386298960004125
2.861760756417228, 0.20796613969684397
2.8962020071986885, 0.20567748815436038
2.93064325798015, 0.20196616132871115
2.9650845087616107, 0.21235787644052895
2.9995257595430713, 0.22813101544953795
3.033967010324533, 0.24446085348239444
3.0684082611059935, 0.25077010908599795
3.102849511887454, 0.263203053951923
3.1372907626689157, 0.27415146808758806
3.1717320134503764, 0.3012441539148272
3.1936491730385788, 0.3246873683635113
